match_id,team1,team2,toss_winner,toss_decision,venue,match_winner,team1_win,team1_strength,team2_strength,strength_diff
1216505,1,252,252,field,Sheikh Zayed Stadium,252,0,0.4925925925925926,0.45692883895131087,0.035663753641281715
1216506,494,129,129,field,Sheikh Zayed Stadium,129,0,0.4659090909090909,0.5674603174603174,-0.10155122655122656
1216507,2,134,2,bat,Dubai International Cricket Stadium,134,0,0.46494464944649444,0.5063829787234042,-0.04143832927690977
1216508,3,6,6,field,Sheikh Zayed Stadium,3,1,0.5523465703971119,0.5151515151515151,0.03719505524559674
1216509,129,252,129,bat,Sharjah Cricket Stadium,252,0,0.5674603174603174,0.45692883895131087,0.11053147850900658
1216510,494,1,1,field,Dubai International Cricket Stadium,494,1,0.4659090909090909,0.4925925925925926,-0.026683501683501698
1216511,3,134,3,bat,Sheikh Zayed Stadium,3,1,0.5523465703971119,0.5063829787234042,0.04596359167370767
1216512,6,2,2,field,Sheikh Zayed Stadium,2,0,0.5151515151515151,0.46494464944649444,0.0502068657050207
1216513,494,129,494,bat,Dubai International Cricket Stadium,129,0,0.4659090909090909,0.5674603174603174,-0.10155122655122656
1216514,134,1,134,bat,Sheikh Zayed Stadium,1,0,0.5063829787234042,0.4925925925925926,0.013790386130811627
1216515,252,6,6,field,Sharjah Cricket Stadium,252,1,0.45692883895131087,0.5151515151515151,-0.05822267620020427
1216516,2,129,2,bat,Dubai International Cricket Stadium,2,1,0.46494464944649444,0.5674603174603174,-0.102515668013823
1216517,3,494,3,bat,Dubai International Cricket Stadium,494,0,0.5523465703971119,0.4659090909090909,0.086437479488021
1216518,134,2,2,field,Dubai International Cricket Stadium,2,0,0.5063829787234042,0.46494464944649444,0.04143832927690977
1216519,252,1,1,field,Dubai International Cricket Stadium,252,1,0.45692883895131087,0.4925925925925926,-0.035663753641281715
1216520,6,494,494,field,Sharjah Cricket Stadium,494,0,0.5151515151515151,0.4659090909090909,0.049242424242424254
1216521,129,3,3,field,Sharjah Cricket Stadium,3,0,0.5674603174603174,0.5523465703971119,0.015113747063205563
1216522,134,1,134,bat,Dubai International Cricket Stadium,1,0,0.5063829787234042,0.4925925925925926,0.013790386130811627
1216523,6,494,6,bat,Sheikh Zayed Stadium,6,1,0.5151515151515151,0.4659090909090909,0.049242424242424254
1216524,2,252,252,field,Dubai International Cricket Stadium,2,1,0.46494464944649444,0.45692883895131087,0.008015810495183573
1216525,1,129,1,bat,Dubai International Cricket Stadium,1,1,0.4925925925925926,0.5674603174603174,-0.07486772486772486
1216526,6,3,6,bat,Sheikh Zayed Stadium,3,0,0.5151515151515151,0.5523465703971119,-0.03719505524559674
1216527,494,134,134,field,Sharjah Cricket Stadium,134,0,0.4659090909090909,0.5063829787234042,-0.040473887814313325
1216528,129,2,129,bat,Dubai International Cricket Stadium,129,1,0.5674603174603174,0.46494464944649444,0.102515668013823
1216529,252,3,252,bat,Sheikh Zayed Stadium,3,0,0.45692883895131087,0.5523465703971119,-0.09541773144580101
1216530,6,134,134,field,Dubai International Cricket Stadium,6,1,0.5151515151515151,0.5063829787234042,0.008768536428110929
1216531,1,494,1,bat,Sharjah Cricket Stadium,494,0,0.4925925925925926,0.4659090909090909,0.026683501683501698
1216532,2,252,252,field,Sheikh Zayed Stadium,2,1,0.46494464944649444,0.45692883895131087,0.008015810495183573
1216533,129,134,129,bat,Sheikh Zayed Stadium,134,0,0.5674603174603174,0.5063829787234042,0.061077338736913234
1216534,1,2,2,field,Dubai International Cricket Stadium,1,1,0.4925925925925926,0.46494464944649444,0.027647943146098142
